line_ID,character,line
57,Jim,103
57,Darryl,1
57,Angela,6
57,Andy,26
57,Dwight,84
58,Meredith,5
58,Stanley,3
58,Phyllis,2
58,Pam,13
58,Oscar,38
58,Michael,77
58,Kevin,2
58,Ryan,13
58,Jim,22
58,Dwight,15
58,David,15
58,Creed,1
58,Angela,10
58,Andy,69
58,Kelly,15
59,Toby,29
59,Ryan,18
59,Phyllis,3
59,Pam,26
59,Oscar,3
59,Michael,90
59,Meredith,2
59,Dwight,38
59,Kelly,10
59,Jim,31
59,David,11
59,Creed,2
59,Angela,2
59,Andy,6
59,Kevin,2
60,Ryan,14
60,Kevin,4
60,Oscar,1
60,Erin,18
60,Andy,6
60,Kelly,27
61,Toby,1
61,Stanley,11
61,Ryan,1
61,Phyllis,7
61,Pam,26
61,Michael,86
61,Meredith,4
61,Oscar,9
61,Kelly,9
61,Jim,39
61,Erin,7
61,Dwight,18
61,Creed,6
61,Angela,5
61,Andy,36
61,Kevin,13
62,Michael,72
62,Oscar,7
62,Toby,26
62,Stanley,2
62,Phyllis,2
62,Ryan,5
62,Meredith,6
62,Pam,24
62,Kevin,1
62,David,34
62,Jim,18
62,Andy,7
62,Angela,3
62,Creed,4
62,Kelly,3
62,Dwight,32
62,Erin,3
62,Darryl,15
63,Stanley,3
63,Ryan,5
63,Phyllis,13
63,Pam,18
63,Oscar,12
63,Meredith,9
63,Kevin,14
63,Michael,85
63,Jim,88
63,Erin,3
63,Dwight,29
63,David,6
63,Creed,3
63,Angela,5
63,Andy,3
63,Kelly,4
64,Oscar,9
64,Toby,3
64,Stanley,7
64,Ryan,3
64,Phyllis,3
64,Pete,6
64,Pam,70
64,Michael,130
64,Andy,32
64,Kevin,30
64,Kelly,3
64,Jim,56
64,Erin,10
64,Dwight,84
64,Angela,12
64,Meredith,6
66,Toby,3
66,Ryan,4
66,Phyllis,1
66,Pam,5
66,Michael,121
66,Oscar,18
66,Meredith,3
66,Jim,14
66,Erin,7
66,Dwight,50
66,Creed,1
66,Andy,57
66,Kevin,17
67,Toby,15
67,Stanley,1
67,Ryan,8
67,Phyllis,2
67,Pam,58
67,Oscar,6
67,Michael,83
67,Meredith,4
67,Kelly,10
67,Jim,58
67,Erin,12
67,Dwight,29
67,Creed,1
67,Angela,5
67,Andy,9
67,Kevin,6
68,Meredith,8
68,Stanley,3
68,Ryan,1
68,Phyllis,9
68,Pam,39
68,Oscar,11
68,Michael,85
68,Kevin,10
68,Andy,37
68,Jim,49
68,Erin,17
68,Dwight,14
68,Darryl,7
68,Creed,3
68,Angela,10
68,Kelly,2
69,Toby,7
69,Stanley,1
69,Ryan,8
69,Phyllis,2
69,Pam,70
69,Oscar,3
69,Michael,114
69,Meredith,1
69,Kevin,6
69,Jim,26
69,Erin,3
69,Dwight,50
69,Creed,2
69,Angela,2
69,Andy,27
69,Kelly,5
70,Ryan,17
70,Meredith,2
70,Kevin,7
70,Kelly,18
70,Erin,9
70,Creed,1
70,Angela,2
70,Gabe,13
71,Meredith,3
71,Toby,3
71,Stanley,5
71,Ryan,3
71,Phyllis,7
71,Pam,25
71,Oscar,8
71,Michael,57
71,Kevin,5
71,Erin,7
71,Jo,7
71,Jim,22
71,Gabe,11
71,Dwight,21
71,Darryl,5
71,Creed,4
71,Angela,3
71,Andy,16
71,Kelly,5
72,Michael,31
72,Stanley,3
72,Ryan,3
72,Phyllis,3
72,Toby,35
72,Oscar,7
72,Kelly,6
72,Pam,39
72,Gabe,17
72,Erin,4
72,Dwight,48
72,Darryl,4
72,Creed,1
72,Angela,4
72,Andy,12
72,Jim,34
73,Stanley,2
73,Phyllis,4
73,Pam,17
73,Oscar,1
73,Michael,43
73,Jim,19
73,Kelly,2
73,Dwight,17
73,Darryl,11
73,Creed,2
73,Angela,16
73,Andy,48
73,Erin,19
74,Kelly,5
74,Ryan,1
74,Phyllis,5
74,Pam,8
74,Stanley,4
74,Oscar,7
74,Michael,87
74,Meredith,6
74,Kevin,10
74,Jim,4
74,Creed,2
74,Holly,15
74,Gabe,3
74,Erin,4
74,Dwight,40
74,Darryl,8
74,Carol,15
74,Angela,2
74,Andy,40
74,Jan,16
75,Michael,85
75,Oscar,16
75,Pam,10
75,Meredith,15
75,Ryan,3
75,Stanley,5
75,Phyllis,8
75,Kevin,12
75,Creed,2
75,Jim,59
75,Erin,2
75,Dwight,56
75,Darryl,23
75,Kelly,3
75,Angela,2
75,Andy,38
76,Todd Packer,5
76,Stanley,6
76,Ryan,6
76,Phyllis,5
76,Pam,23
76,Oscar,8
76,Michael,59
76,Meredith,1
76,Kevin,19
76,Toby,4
76,Jim,26
76,Kelly,5
76,Angela,5
76,Creed,3
76,Andy,16
76,Dwight,14
76,Erin,7
76,Gabe,14
76,Darryl,26
77,Toby,3
77,Stanley,3
77,Ryan,6
77,Phyllis,5
77,Pam,33
77,Oscar,2
77,Michael,73
77,Kevin,4
77,Jim,38
77,Gabe,2
77,Erin,9
77,Dwight,16
77,Darryl,2
77,Angela,8
77,Andy,24
77,Kelly,2
78,Michael,53
78,Stanley,1
78,Ryan,3
78,Phyllis,12
78,Pam,23
78,Oscar,7
78,Kevin,9
78,Jim,17
78,Gabe,18
78,Erin,40
78,Dwight,26
78,Creed,4
78,Angela,9
78,Andy,26
78,Kelly,13
79,Stanley,7
79,Ryan,53
79,Phyllis,2
79,Oscar,5
79,Michael,67
79,Meredith,2
79,Kevin,7
79,Kelly,5
79,Pam,28
79,Jim,20
79,Gabe,8
79,Erin,7
79,Dwight,24
79,Creed,3
79,Angela,19
79,Andy,10
79,Jo,4
81,Toby,1
81,Stanley,8
81,Ryan,1
81,Robert,29
81,Phyllis,10
81,Pam,23
81,Oscar,4
81,Meredith,5
81,Erin,9
81,Kelly,5
81,Jim,33
81,Dwight,28
81,Darryl,4
81,Angela,6
81,Andy,50
81,Kevin,7
82,Pam,33
82,Phyllis,7
82,Oscar,7
82,Ryan,4
82,Stanley,5
82,Robert,24
82,Meredith,5
82,Kelly,3
82,Kevin,24
82,Jim,39
82,Erin,12
82,Dwight,21
82,Darryl,7
82,Angela,14
82,Andy,71
83,Toby,1
83,Ryan,5
83,Phyllis,6
83,Pam,23
83,Oscar,18
83,Meredith,4
83,Kevin,14
83,Kelly,6
83,Jim,43
83,Erin,7
83,Dwight,30
83,Darryl,49
83,Creed,1
83,Angela,3
83,Andy,63
84,Toby,6
84,Stanley,1
84,Ryan,7
84,Robert,18
84,Phyllis,3
84,Pam,10
84,Oscar,9
84,Meredith,5
84,Angela,7
84,Kelly,3
84,Jim,21
84,Gabe,4
84,Erin,5
84,Dwight,26
84,Darryl,9
84,Andy,61
84,Kevin,4
85,Oscar,7
85,Pam,24
85,Phyllis,7
85,Toby,7
85,Ryan,3
85,Stanley,3
85,Meredith,5
85,Robert,28
85,Kelly,12
85,Gabe,9
85,Jim,25
85,Erin,35
85,Dwight,18
85,Darryl,9
85,Creed,3
85,Angela,4
85,Andy,34
85,Kevin,9
86,Toby,8
86,Stanley,7
86,Ryan,3
86,Phyllis,2
86,Pam,17
86,Oscar,11
86,Kevin,10
86,Robert,31
